S.no; Stock Id;Image; Brand; Rating; Number of ratings; Description; features; Price; Offers; Shipping Price;
31;stock_14-137-602;https://c1.neweggimages.com/ProductImageCompressAll300/14-137-602-V13.jpg;MSI;Rating + 5;54;MSI GeForce RTX 3070 DirectX 12 RTX 3070 VENTUS 2X OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 1 x HDMI 2.1', 'Card Dimensions (L x H): 9.13" x 4.88"', 'Model #: 3070Ventus2XOC', 'Item #: N82E16814137602', 'Return Policy: Replacement Only Return Policy'];$739.99 –;null;$8.99 Shipping
32;stock_14-500-505;https://c1.neweggimages.com/ProductImageCompressAll300/14-500-505-01.jpg;ZOTAC;Rating + 4;11;ZOTAC GAMING GeForce RTX 3070 Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, White LED Logo Lighting, ZT-A30700H-10P;['Max Resolution: 7680 x 4320 @ 60Hz', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 1 x HDMI 2.1', 'Card Dimensions (L x H): 9.10" x 5.60"', 'Model #: ZT-A30700H-10P', 'Item #: N82E16814500505', 'Return Policy: Replacement Only Return Policy'];$694.99 –;null;$9.99 Shipping
33;stock_14-126-480;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-480-V11.jpg;ASUS;Rating + 4;2;ASUS Dual GeForce RTX 3060 Ti DirectX 12 Ultimate DUAL-RTX3060TI-8G 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4a', 'HDMI: 2 x HDMI 2.1', 'Card Dimensions (L x H): 10.56" x 5.35"', 'Model #: DUAL-RTX3060TI-8G', 'Item #: N82E16814126480', 'Return Policy: Standard Return Policy'];$489.99 –;null;$9.99 Shipping
34;stock_14-202-391;https://c1.neweggimages.com/ProductImageCompressAll300/14-202-391-S01.jpg;Sapphire Tech;Rating + 4;19;SAPPHIRE NITRO+ Radeon RX 6800 XT DirectX 12 Ultimate 11304-02-20G 16GB 256-Bit GDDR6 PCI Express 4.0 ATX Gaming Graphics Card, AMD RDNA 2;['Max Resolution: 7680 x 4320', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.1', 'Card Dimensions (L x H): 12.20" x 5.29"', 'Model #: 11304-02-20G', 'Item #: N82E16814202391', 'Return Policy: Replacement Only Return Policy'];$999.99 –;null;$9.99 Shipping
1;stock_9SIAE8D8A52985;https://c1.neweggimages.com/ProductImageCompressAll300/A6V6_131590275544032227UNEOATaxnR.jpg;NVIDIA;Rating + 4;4;NVIDIA GeForce GTX 1080 Founders Edition, 8GB GDDR5X PCI Express 3.0 Graphics Card;['Core Clock: 1607MHz', 'Chipset Manufacturer: NVIDIA', 'Boost Clock: 1733MHz', 'CUDA Cores: 2560', 'Model #: B078NZ9NYV', 'Item #: 9SIAE8D8A52985', 'Return Policy: View Return Policy'];$879.00 –;null;Free Shipping
2;stock_9SIAPMXDDH8029;https://c1.neweggimages.com/ProductImageCompressAll300/14-932-357-V01.jpg;GIGABYTE;Rating + 3;2;GIGABYTE Radeon RX 5500 XT OC 8G (rev. 2.0) Graphics Card, PCIe 4.0, 8GB 128-Bit GDDR6, GV-R55XTOC-8GD Video Card;['Max Resolution: 7680 x 4320 @ 60 Hz', 'DisplayPort: 3 x DisplayPort 1.4', 'HDMI: 1 x HDMI 2.0b', 'Card Dimensions (L x H): 8.86" x 4.69"', 'Model #: GV-R55XTOC-8GD V2', 'Return Policy: View Return Policy'];$519.99;3 Offers–;Free Shipping
3;stock_9SIA4RE5UR7417;https://c1.neweggimages.com/ProductImageCompressAll300/A4RE_131418243585275563Ony2dcwkkP.jpg;Corn Electronics;Rating + 4;3;CORN GTX 650 1GB 128-Bit GDDR5 Graphic Card Video Card GPU GTX650-DCO-1GD5  DirectX 11 PCI Express 3.0 HDCP DVI/VGA/Mini HDMI;['Core Clock: 1059 MHz', 'Max Resolution: 2048 x 1536', 'DVI: 1 x DVI', 'HDMI: 1 x mini HDMI', 'Model #: DZ-XK-001', 'Item #: 9SIA4RE5UR7417', 'Return Policy: View Return Policy'];$69.99 –;null;Free Shipping
4;stock_9SIAE8D8NK3550;https://c1.neweggimages.com/ProductImageCompressAll300/14-487-133-09.jpg;EVGA;Rating + 5;33;EVGA GeForce GTX 960 04G-P4-3962-KR 4GB SC GAMING, Only 6.8 inches, Perfect for mITX Build Graphics Card;['Core Clock: 1216 MHz', 'Max Resolution: Analog: 2048 x 1536\nDigital: 4096 x 2160', 'DisplayPort: 1 x DisplayPort', 'DVI: 1 x DVI-D\n1 x DVI-I', 'Model #: 04G-P4-3962-KR', 'Return Policy: View Return Policy'];$495.00;1 Offers–;Free Shipping
5;stock_9SIAGKCBRC1805;https://c1.neweggimages.com/ProductImageCompressAll300/14-126-336-V01.jpg;ASUS;Rating + 5;60;ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING);['Core Clock: OC mode: 1680 MHz\nGaming mode: 1650 MHz', 'Max Resolution: 7680 x 4320', 'DisplayPort: 2 x DisplayPort 1.4', 'HDMI: 2 x HDMI 2.0b', 'Model #: ROGRTX2080S-A8GGAMIN', 'Item #: 9SIAGKCBRC1805', 'Return Policy: View Return Policy'];$1,299.99 –;null;$75.00 Shipping
6;stock_9SIAE8D97E3522;https://c1.neweggimages.com/ProductImageCompressAll300/14-487-076-16.jpg;EVGA;Rating + 4;418;EVGA GeForce GTX 970 04G-P4-2974-KR 4GB SC GAMING w/ACX 2.0, Silent Cooling Graphics Card;['Core Clock: 1165 MHz', 'Max Resolution: Analog: 2048 x 1536\nDigital: 4096 x 2160', 'DisplayPort: 1 x DisplayPort 1.2', 'DVI: 1 x Dual-link DVI-I\n1 x Dual-link DVI-D', 'Model #: 04G-P4-2974-KR', 'Return Policy: View Return Policy'];$445.00;1 Offers–;Free Shipping
